"STATION","NAME","DATE","DAPR","EVAP","MDPR","MNPN","MXPN","PRCP","SNOW","SNWD","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11","WT15","WT17","WT18","WT22"
"USC00171628","CORINNA, ME US","2017-01-01",,,,,,"0.34","5.0","20",,,,,,,,,,,,,
"USC00171628","CORINNA, ME US","2017-01-02",,,,,,"0.00","0.0","18",,,,,,,,,,,,,
"USC00171628","CORINNA, ME US","2017-01-03",,,,,,"0.00","0.0","16",,,,,,,,,,,,,
"USC00171628","CORINNA, ME US","2017-01-04",,,,,,"0.78","1.0","15",,,,,,,,,,,,,
"USC00171628","CORINNA, ME US","2017-01-05",,,,,,"0.07","0.0","14",,,,,,,,,,,,,
"USC00171628","CORINNA, ME US","2017-01-06",,,,,,"0.00","0.0","14",,,,,,,,,,,,,
"USC00171628","CORINNA, ME US","2017-01-07",,,,,,"0.00","0.0","14",,,,,,,,,,,,,
"USC00171628","CORINNA, ME US","2017-01-08",,,,,,"0.04","1.0","15",,,,,,,,,,,,,
"USC00171628","CORINNA, ME US","2017-01-09",,,,,,"0.00","0.0","0",,,,,,,,,,,,,
"USC00171628","CORINNA, ME US","2017-01-10",,,,,,"0.00","0.0",,,,,,,,,,,,,,
"USC00171628","CORINNA, ME US","2017-01-11",,,,,,"0.03","0.0","12",,,,,,,,,,,,,
"USC00171628","CORINNA, ME US","2017-01-12",,,,,,"0.03","0.0","9",,,,,,,,,,,,,
"USC00171628","CORINNA, ME US","2017-01-13",,,,,,"0.00","0.0","7",,,,,,,,,,,,,
"USC00171628","CORINNA, ME US","2017-01-14",,,,,,"0.00","0.0","7",,,,,,,,,,,,,
"USC00171628","CORINNA, ME US","2017-01-15",,,,,,"0.00","0.0","7",,,,,,,,,,,,,
"USC00171628","CORINNA, ME US","2017-01-16",,,,,,"0.00","0.0","7",,,,,,,,,,,,,
"USC00171628","CORINNA, ME US","2017-01-17",,,,,,"0.03","0.0","7",,,,,,,,,,,,,
"USC00171628","CORINNA, ME US","2017-01-18",,,,,,"0.06","1.0","7",,,,,,,,,,,,,
"USC00171628","CORINNA, ME US","2017-01-19",,,,,,"0.21","2.0","9",,,,,,,,,,,,,
"USC00171628","CORINNA, ME US","2017-01-20",,,,,,"0.00","0.0","7",,,,,,,,,,,,,
"USC00171628","CORINNA, ME US","2017-01-21",,,,,,"0.00","0.0","7",,,,,,,,,,,,,
"USC00171628","CORINNA, ME US","2017-01-22",,,,,,"0.00","0.0","7",,,,,,,,,,,,,
"USC00171628","CORINNA, ME US","2017-01-23",,,,,,"0.00","0.0","7",,,,,,,,,,,,,
"USC00171628","CORINNA, ME US","2017-01-24",,,,,,"0.65","1.0","7",,,,,,,,,,,,,
"USC00171628","CORINNA, ME US","2017-01-25",,,,,,"1.12","0.5","8",,,,,,,,,,,,,
"USC00171628","CORINNA, ME US","2017-01-26",,,,,,"0.16","0.3","8",,,,,,,,,,,,,
"USC00171628","CORINNA, ME US","2017-01-27",,,,,,"0.00","0.0","8",,,,,,,,,,,,,
"USC00171628","CORINNA, ME US","2017-01-28",,,,,,"0.00","0.0","8",,,,,,,,,,,,,
"USC00171628","CORINNA, ME US","2017-01-29",,,,,,"0.00","0.0","8",,,,,,,,,,,,,
"USC00171628","CORINNA, ME US","2017-01-30",,,,,,"0.00","0.0","8",,,,,,,,,,,,,
"USC00171628","CORINNA, ME US","2017-01-31",,,,,,"0.00","0.0","8",,,,,,,,,,,,,
"USC00171628","CORINNA, ME US","2017-02-01",,,,,,"0.05","1.0","9",,,,,,,,,,,,,
"USC00171628","CORINNA, ME US","2017-02-02",,,,,,"0.05","0.7","9",,,,,,,,,,,,,
"USC00171628","CORINNA, ME US","2017-02-03",,,,,,"0.00","0.0","9",,,,,,,,,,,,,
"USC00171628","CORINNA, ME US","2017-02-04",,,,,,"0.00","0.0","9",,,,,,,,,,,,,
"USC00171628","CORINNA, ME US","2017-02-05",,,,,,"0.00","0.0","9",,,,,,,,,,,,,
"USC00171628","CORINNA, ME US","2017-02-06",,,,,,"0.00","0.0","9",,,,,,,,,,,,,
"USC00171628","CORINNA, ME US","2017-02-07",,,,,,"0.00","0.0","9",,,,,,,,,,,,,
"USC00171628","CORINNA, ME US","2017-02-08",,,,,,"0.57","3.0","12",,,,,,,,,,,,,
"USC00171628","CORINNA, ME US","2017-02-09",,,,,,"0.12","2.0","14",,,,,,,,,,,,,
"USC00171628","CORINNA, ME US","2017-02-10",,,,,,"0.41","4.0","17",,,,,,,,,,,,,
"USC00171628","CORINNA, ME US","2017-02-11",,,,,,"0.01","0.0","15",,,,,,,,,,,,,
"USC00171628","CORINNA, ME US","2017-02-12",,,,,,"0.11","3.0","18",,,,,,,,,,,,,
"USC00273658","GREENVILLE 1 NNE, NH US","2017-01-01",,,,,,"0.14","1.0","6",,,,,,,,,,,,,
"USC00273658","GREENVILLE 1 NNE, NH US","2017-01-02",,,,,,"0.00","0.0","5",,,,,,,,,,,,,
"USC00273658","GREENVILLE 1 NNE, NH US","2017-01-03",,,,,,"0.00","0.0","5",,,,,,,,,,,,,
"USC00273658","GREENVILLE 1 NNE, NH US","2017-01-04",,,,,,"1.18","0.0","4",,,,,,,,,,,,,
"USC00273658","GREENVILLE 1 NNE, NH US","2017-01-05",,,,,,"0.00","0.0","3",,,,,,,,,,,,,
"USC00273658","GREENVILLE 1 NNE, NH US","2017-01-06",,,,,,"0.02","0.2","3",,,,,,,,,,,,,
"USC00273658","GREENVILLE 1 NNE, NH US","2017-01-07",,,,,,"0.00","0.0","3",,,,,,,,,,,,,
"USC00273658","GREENVILLE 1 NNE, NH US","2017-01-08",,,,,,"0.15","2.5","5",,,,,,,,,,,,,
"USC00273658","GREENVILLE 1 NNE, NH US","2017-01-09",,,,,,"0.00","0.0","5",,,,,,,,,,,,,
"USC00273658","GREENVILLE 1 NNE, NH US","2017-01-10",,,,,,"0.00","0.0","5",,,,,,,,,,,,,
"USC00273658","GREENVILLE 1 NNE, NH US","2017-01-11",,,,,,"0.17","0.5","2",,,,,,,,,,,,,
"USC00273658","GREENVILLE 1 NNE, NH US","2017-01-12",,,,,,"0.00","0.0","2",,,,,,,,,,,,,
"USC00273658","GREENVILLE 1 NNE, NH US","2017-01-13",,,,,,"0.05","0.0","0",,,,,,,,,,,,,
"USC00273658","GREENVILLE 1 NNE, NH US","2017-01-14",,,,,,"0.00","0.0","0",,,,,,,,,,,,,
"USC00273658","GREENVILLE 1 NNE, NH US","2017-01-15",,,,,,"0.00","0.0","0",,,,,,,,,,,,,
"USC00273658","GREENVILLE 1 NNE, NH US","2017-01-16",,,,,,"0.00","0.0","0",,,,,,,,,,,,,
"USC00273658","GREENVILLE 1 NNE, NH US","2017-01-17",,,,,,"0.00","0.0","0",,,,,,,,,,,,,
"USC00273658","GREENVILLE 1 NNE, NH US","2017-01-18",,,,,,"0.63","4.0","4",,,,,,,,,,,,,
"USC00273658","GREENVILLE 1 NNE, NH US","2017-01-19",,,,,,"0.17","1.0","4",,,,,,,,,,,,,
"USC00273658","GREENVILLE 1 NNE, NH US","2017-01-20",,,,,,"0.00","0.0","3",,,,,,,,,,,,,
"USC00273658","GREENVILLE 1 NNE, NH US","2017-01-21",,,,,,"0.00","0.0","3",,,,,,,,,,,,,
"USC00273658","GREENVILLE 1 NNE, NH US","2017-01-22",,,,,,"0.00","0.0","2",,,,,,,,,,,,,
"USC00273658","GREENVILLE 1 NNE, NH US","2017-01-23",,,,,,"0.16","0.5","2",,,,,,,,,,,,,
"USC00273658","GREENVILLE 1 NNE, NH US","2017-01-24",,,,,,"0.80","3.0","5",,,,,,,,,,,,,
"USC00273658","GREENVILLE 1 NNE, NH US","2017-01-25",,,,,,"0.34","0.5","3",,,,,,,,,,,,,
"USC00273658","GREENVILLE 1 NNE, NH US","2017-01-26",,,,,,"0.00","0.0","3",,,,,,,,,,,,,
"USC00273658","GREENVILLE 1 NNE, NH US","2017-01-27",,,,,,"0.00","0.0","3",,,,,,,,,,,,,
"USC00273658","GREENVILLE 1 NNE, NH US","2017-01-28",,,,,,"0.00","0.0","3",,,,,,,,,,,,,
"USC00273658","GREENVILLE 1 NNE, NH US","2017-01-29",,,,,,"0.00","0.0","3",,,,,,,,,,,,,
"USC00273658","GREENVILLE 1 NNE, NH US","2017-01-30",,,,,,"0.00","0.0","3",,,,,,,,,,,,,
"USC00273658","GREENVILLE 1 NNE, NH US","2017-01-31",,,,,,"0.00","0.0","3",,,,,,,,,,,,,
"USC00273658","GREENVILLE 1 NNE, NH US","2017-02-01",,,,,,"0.07","2.0","4",,,,,,,,,,,,,
"USC00273658","GREENVILLE 1 NNE, NH US","2017-02-02",,,,,,"0.00","0.0","3",,,,,,,,,,,,,
"USC00273658","GREENVILLE 1 NNE, NH US","2017-02-03",,,,,,"0.00","0.0","3",,,,,,,,,,,,,
"USC00273658","GREENVILLE 1 NNE, NH US","2017-02-04",,,,,,"0.00","0.0","3",,,,,,,,,,,,,
"USC00273658","GREENVILLE 1 NNE, NH US","2017-02-05",,,,,,"0.00","0.0","3",,,,,,,,,,,,,
"USC00273658","GREENVILLE 1 NNE, NH US","2017-02-06",,,,,,"0.00","0.0","3",,,,,,,,,,,,,
"USC00273658","GREENVILLE 1 NNE, NH US","2017-02-07",,,,,,"0.00","0.0","3",,,,,,,,,,,,,
"USC00273658","GREENVILLE 1 NNE, NH US","2017-02-08",,,,,,"0.57","3.2","5",,,,,,,,,,,,,
"USC00273658","GREENVILLE 1 NNE, NH US","2017-02-09",,,,,,"0.00","0.0","3",,,,,,,,,,,,,
"USC00273658","GREENVILLE 1 NNE, NH US","2017-02-10",,,,,,"0.80","16.0","18",,,,,,,,,,,,,
"USC00273658","GREENVILLE 1 NNE, NH US","2017-02-11",,,,,,"0.12","2.0","18",,,,,,,,,,,,,
"USC00273658","GREENVILLE 1 NNE, NH US","2017-02-12",,,,,,"0.00","0.0","16",,,,,,,,,,,,,
"US1MEKB0045","FAYETTE 1.4 S, ME US","2017-01-01",,,,,,"0.18",,,,,,,,,,,,,,,
"US1MEKB0045","FAYETTE 1.4 S, ME US","2017-01-02",,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MEKB0045","FAYETTE 1.4 S, ME US","2017-01-07",,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MEKB0045","FAYETTE 1.4 S, ME US","2017-01-08",,,,,,"0.10","1.0",,,,,,,,,,,,,,
"US1MEKB0045","FAYETTE 1.4 S, ME US","2017-01-09",,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MEKB0045","FAYETTE 1.4 S, ME US","2017-01-10",,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MEKB0045","FAYETTE 1.4 S, ME US","2017-01-11",,,,,,"0.43",,,,,,,,,,,,,,,
"US1MEKB0045","FAYETTE 1.4 S, ME US","2017-01-12",,,,,,"0.03",,,,,,,,,,,,,,,
"US1MEKB0045","FAYETTE 1.4 S, ME US","2017-01-13",,,,,,"0.12",,,,,,,,,,,,,,,
"US1MEKB0045","FAYETTE 1.4 S, ME US","2017-01-14",,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MEKB0045","FAYETTE 1.4 S, ME US","2017-01-15",,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MEKB0045","FAYETTE 1.4 S, ME US","2017-01-19",,,,,,"0.20",,,,,,,,,,,,,,,
"US1MEKB0045","FAYETTE 1.4 S, ME US","2017-01-20",,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MEKB0045","FAYETTE 1.4 S, ME US","2017-01-21",,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MEKB0045","FAYETTE 1.4 S, ME US","2017-01-22",,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MEKB0045","FAYETTE 1.4 S, ME US","2017-01-23",,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MEKB0045","FAYETTE 1.4 S, ME US","2017-01-24",,,,,,"0.00",,,,,,,,,,,,,,,
"US1MEKB0045","FAYETTE 1.4 S, ME US","2017-01-25",,,,,,"1.57",,,,,,,,,,,,,,,
"US1MEKB0045","FAYETTE 1.4 S, ME US","2017-01-26",,,,,,"0.06",,,,,,,,,,,,,,,
"US1MEKB0045","FAYETTE 1.4 S, ME US","2017-01-27",,,,,,"0.04","0.0",,,,,,,,,,,,,,
"US1MEKB0045","FAYETTE 1.4 S, ME US","2017-01-28",,,,,,"0.02",,,,,,,,,,,,,,,
"US1MEKB0045","FAYETTE 1.4 S, ME US","2017-01-29",,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MEKB0045","FAYETTE 1.4 S, ME US","2017-01-30",,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MEKB0045","FAYETTE 1.4 S, ME US","2017-01-31",,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MEKB0045","FAYETTE 1.4 S, ME US","2017-02-02",,,,,,"0.02",,,,,,,,,,,,,,,
"US1MEKB0045","FAYETTE 1.4 S, ME US","2017-02-03",,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MEKB0045","FAYETTE 1.4 S, ME US","2017-02-04",,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MEKB0045","FAYETTE 1.4 S, ME US","2017-02-05",,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MEKB0045","FAYETTE 1.4 S, ME US","2017-02-06",,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MEKB0045","FAYETTE 1.4 S, ME US","2017-02-07",,,,,,"0.03",,,,,,,,,,,,,,,
"US1MEKB0045","FAYETTE 1.4 S, ME US","2017-02-08",,,,,,"0.54",,,,,,,,,,,,,,,
"US1MEKB0045","FAYETTE 1.4 S, ME US","2017-02-09",,,,,,"0.00",,,,,,,,,,,,,,,
"US1MEKB0045","FAYETTE 1.4 S, ME US","2017-02-10",,,,,,"0.62",,,,,,,,,,,,,,,
"US1MEKB0045","FAYETTE 1.4 S, ME US","2017-02-11",,,,,,"0.00",,,,,,,,,,,,,,,
"US1MEKB0045","FAYETTE 1.4 S, ME US","2017-02-12",,,,,,"0.21",,,,,,,,,,,,,,,
"USC00179593","WEST ROCKPORT 1 NNW, ME US","2017-01-01",,,,,,"0.72","2.0","3",,,,,,,,,,,,,
"USC00179593","WEST ROCKPORT 1 NNW, ME US","2017-01-02",,,,,,"0.00","0.0","2",,,,,,,,,,,,,
