inflow1	inflow2	inflow3	inflow4
0	40	20	20
0	50	0	0
10	55	50	30
15	45	0	0
20	60	20	0
30	30	50	20
20	20	20	50
35	32	20	20
40	30	20	50
50	20	50	50
55	10	0	20
45	5	20	50
60	5	20	50
30	5	50	50
20	5	20	20
32	3	0	20
30	3	0	0
20	16	50	20
10	24	20	20
5	26	50	0
5	35	20	50
5	21	0	50
5	42	0	20
3	49	20	20
3	58	0	20
12	63	59	39
17	47	8	7
25	70	25	3
33	32	51	23
24	29	30	52
38	42	28	23
43	39	25	51
55	21	58	58
56	13	4	23
47	9	21	53
61	9	28	51
35	11	51	57
22	6	25	29
33	7	2	29
33	10	1	10
23	17	55	27
11	34	30	27
6	31	55	3
7	42	26	52
7	25	4	56
9	52	8	26
8	55	27	27
6	66	9	21
15	65	65	48
20	51	15	16
29	76	26	13
37	40	58	25
27	39	40	53
40	43	38	26
46	48	34	58
57	24	61	65
59	16	8	29
48	18	25	58
65	14	34	60
37	14	58	64
23	14	26	37
37	14	12	33
36	16	10	15
27	25	59	29
15	42	40	34
9	41	57	9
8	45	36	58
10	28	5	59
14	56	17	35
11	59	35	29
9	68	19	29
17	66	72	52
23	55	18	20
33	79	31	14
41	48	64	26
31	40	48	63
45	53	41	34
51	54	40	68
59	28	68	71
61	18	14	36
52	23	26	59
69	24	42	65
42	24	68	66
25	15	35	46
40	24	19	35
41	18	16	21
30	29	60	31
19	46	47	43
14	50	61	19
11	47	43	67
13	32	7	69
18	61	24	40
14	61	36	39
10	74	29	35
21	74	79	59
26	64	26	21
34	89	38	20
46	58	70	33
35	41	57	72
49	62	43	35
56	60	47	75
61	35	72	81
63	26	24	38
